#  wl flux error bpmap
3.432998e+03 1.193534e-18 1.998026e-18   0.000000
3.433598e+03 1.628602e-18 1.925244e-18   0.000000
3.434198e+03 -6.972690e-19 1.978456e-18   0.000000
3.434798e+03 -4.378032e-18 2.085797e-18   0.000000
3.435398e+03 5.705004e-19 2.181843e-18   0.000000
3.435998e+03 -4.464983e-20 2.410792e-18   0.000000
3.436599e+03 4.217950e-18 2.488698e-18   0.000000
3.437199e+03 1.562945e-18 2.194681e-18   0.000000
3.437799e+03 2.271477e-18 2.146644e-18   0.000000
3.438399e+03 1.003541e-18 2.209024e-18   0.000000
3.438999e+03 -1.702897e-20 2.195681e-18   0.000000
3.439599e+03 1.850944e-18 2.141926e-18   0.000000
3.440199e+03 -1.405541e-18 2.125100e-18   0.000000
3.440799e+03 2.962629e-18 2.284985e-18   0.000000
3.441400e+03 -8.652036e-19 2.325828e-18   0.000000
3.442000e+03 -1.814377e-19 2.142985e-18   0.000000
3.442600e+03        nan        nan   0.000000
3.443200e+03 3.245065e-18 2.233089e-18   0.000000
3.443800e+03 -9.096973e-19 2.149264e-18   0.000000
3.444400e+03 -6.756311e-19 2.073836e-18   0.000000
3.445000e+03 2.806987e-19 2.139707e-18   0.000000
3.445600e+03 2.650986e-18 2.161247e-18   0.000000
3.446200e+03        nan        nan   0.000000
3.446801e+03 1.309563e-18 2.296205e-18   0.000000
3.447401e+03 3.692003e-18 2.180440e-18   0.000000
3.448001e+03 2.432870e-18 2.160688e-18   0.000000
3.448601e+03        nan        nan   0.000000
3.449201e+03 2.431734e-18 2.295122e-18   0.000000
3.449801e+03 2.603302e-18 2.179160e-18   0.000000
3.450401e+03 2.100652e-18 2.286620e-18   0.000000
3.451001e+03 -3.851447e-19 2.480632e-18   0.000000
3.451602e+03 8.707644e-19 2.499939e-18   0.000000
3.452202e+03 2.237595e-18 2.597443e-18   0.000000
3.452802e+03 2.700097e-18 2.464860e-18   0.000000
3.453402e+03 2.287270e-18 2.545892e-18   0.000000
3.454002e+03 5.386983e-19 2.610360e-18   0.000000
3.454602e+03 1.807699e-18 2.336387e-18   0.000000
3.455202e+03        nan        nan   0.000000
3.455802e+03 1.691827e-18 2.623798e-18   0.000000
3.456403e+03 -6.519752e-19 2.374439e-18   0.000000
3.457003e+03 -4.974614e-19 2.311441e-18   0.000000
3.457603e+03 -2.791144e-19 2.384456e-18   0.000000
3.458203e+03 1.694521e-18 2.639121e-18   0.000000
3.458803e+03 9.690561e-19 2.472310e-18   0.000000
3.459403e+03 2.137241e-18 2.316693e-18   0.000000
3.460003e+03 4.862701e-18 2.333772e-18   0.000000
3.460603e+03 2.989602e-18 2.480009e-18   0.000000
3.461204e+03 8.723625e-19 2.553360e-18   0.000000
3.461804e+03 -1.425730e-18 2.341004e-18   0.000000
3.462404e+03 1.732419e-18 2.302889e-18   0.000000
3.463004e+03 3.942732e-18 2.276770e-18   0.000000
3.463604e+03        nan        nan   0.000000
3.464204e+03 4.612175e-18 2.394093e-18   0.000000
3.464804e+03 1.804440e-18 2.457421e-18   0.000000
3.465404e+03 -7.928435e-19 2.279578e-18   0.000000
3.466004e+03 2.777500e-18 2.352703e-18   0.000000
3.466605e+03 6.232156e-18 2.277285e-18   0.000000
3.467205e+03 2.025030e-18 2.266884e-18   0.000000
3.467805e+03 3.467530e-19 2.381171e-18   0.000000
3.468405e+03        nan        nan   0.000000
3.469005e+03 3.531144e-18 2.362493e-18   0.000000
3.469605e+03 3.211089e-18 2.246874e-18   0.000000
3.470205e+03        nan        nan   0.000000
3.470805e+03 1.184346e-18 2.277454e-18   0.000000
3.471406e+03 -8.929827e-19 2.287870e-18   0.000000
3.472006e+03 6.053325e-18 2.340251e-18   0.000000
3.472606e+03 2.782838e-18 2.351475e-18   0.000000
3.473206e+03 1.630697e-18 2.305462e-18   0.000000
3.473806e+03 3.452257e-18 2.253992e-18   0.000000
3.474406e+03 2.814576e-18 2.242993e-18   0.000000
3.475006e+03 -5.271461e-19 2.237031e-18   0.000000
3.475606e+03 -4.347565e-19 2.260429e-18   0.000000
3.476207e+03 -1.776043e-19 2.218160e-18   0.000000
3.476807e+03        nan        nan   0.000000
3.477407e+03 -3.633376e-19 2.181377e-18   0.000000
3.478007e+03 4.139065e-18 2.281893e-18   0.000000
3.478607e+03 1.267436e-18 2.316298e-18   0.000000
3.479207e+03 -2.056935e-18 2.348914e-18   0.000000
3.479807e+03        nan        nan   0.000000
3.480407e+03 2.561686e-18 2.493103e-18   0.000000
3.481008e+03 1.973240e-18 2.551560e-18   0.000000
3.481608e+03        nan        nan   0.000000
3.482208e+03 5.311580e-18 2.521552e-18   0.000000
3.482808e+03 -4.578736e-19 2.412729e-18   0.000000
3.483408e+03 7.791736e-19 2.718910e-18   0.000000
3.484008e+03 6.275431e-20 2.415351e-18   0.000000
3.484608e+03 5.886514e-18 2.312003e-18   0.000000
3.485208e+03 2.061839e-18 2.254035e-18   0.000000
3.485809e+03 1.564371e-18 2.670974e-18   0.000000
3.486409e+03 2.773991e-18 2.305274e-18   0.000000
3.487009e+03 2.099387e-18 2.065668e-18   0.000000
3.487609e+03 2.838036e-18 2.307408e-18   0.000000
3.488209e+03 -2.808418e-19 2.381370e-18   0.000000
3.488809e+03 4.137609e-18 2.514070e-18   0.000000
3.489409e+03 7.998642e-19 2.263349e-18   0.000000
3.490009e+03 4.907777e-20 1.918517e-18   0.000000
3.490609e+03 7.267416e-19 1.950241e-18   0.000000
3.491210e+03 -3.310461e-19 2.184743e-18   0.000000
