#  wl flux error bpmap
3.391589e+03 -2.776769e-18 2.557208e-18   0.000000
3.392190e+03 1.171403e-18 2.572951e-18   0.000000
3.392790e+03 2.870406e-18 2.514413e-18   0.000000
3.393390e+03 -8.892833e-19 2.466296e-18   0.000000
3.393990e+03 1.101334e-18 2.592201e-18   0.000000
3.394590e+03 7.839399e-19 2.748858e-18   0.000000
3.395190e+03 6.610524e-19 2.653651e-18   0.000000
3.395790e+03 3.088862e-18 2.487508e-18   0.000000
3.396390e+03 2.877853e-18 2.412009e-18   0.000000
3.396991e+03 2.758605e-18 2.478047e-18   0.000000
3.397591e+03 6.955789e-19 2.616687e-18   0.000000
3.398191e+03 -1.242600e-18 2.401915e-18   0.000000
3.398791e+03 4.843708e-18 2.407476e-18   0.000000
3.399391e+03 1.487724e-18 2.442063e-18   0.000000
3.399991e+03 3.235522e-18 2.618469e-18   0.000000
3.400591e+03 3.057602e-18 2.684649e-18   0.000000
3.401191e+03 -2.964166e-18 2.368066e-18   0.000000
3.401792e+03 4.478495e-18 2.427508e-18   0.000000
3.402392e+03 1.137628e-18 2.375231e-18   0.000000
3.402992e+03 1.975503e-18 2.391116e-18   0.000000
3.403592e+03 5.528182e-18 2.528526e-18   0.000000
3.404192e+03 4.342693e-18 2.444829e-18   0.000000
3.404792e+03 -2.103960e-18 2.308793e-18   0.000000
3.405392e+03 -1.245984e-18 2.350520e-18   0.000000
3.405992e+03 -1.709130e-19 2.482447e-18   0.000000
3.406593e+03 -1.557115e-19 2.411565e-18   0.000000
3.407193e+03 1.543543e-18 2.406108e-18   0.000000
3.407793e+03 -9.276938e-19 2.341261e-18   0.000000
3.408393e+03 2.202070e-18 2.285849e-18   0.000000
3.408993e+03 -1.971321e-18 2.283219e-18   0.000000
3.409593e+03 -1.969334e-18 2.329467e-18   0.000000
3.410193e+03 4.693824e-18 2.404440e-18   0.000000
3.410793e+03 1.983957e-18 2.358326e-18   0.000000
3.411393e+03 -6.517680e-19 2.388030e-18   0.000000
3.411994e+03 2.100156e-18 2.438363e-18   0.000000
3.412594e+03 -1.194999e-18 2.377374e-18   0.000000
3.413194e+03 2.459282e-18 2.331067e-18   0.000000
3.413794e+03 -9.507077e-19 2.370628e-18   0.000000
3.414394e+03 -1.665924e-19 2.362916e-18   0.000000
3.414994e+03 -4.020660e-19 2.295266e-18   0.000000
3.415594e+03 2.582096e-18 2.429052e-18   0.000000
3.416194e+03 2.861285e-18 2.533684e-18   0.000000
3.416795e+03 3.004746e-18 2.619551e-18   0.000000
3.417395e+03 1.670464e-18 2.787647e-18   0.000000
3.417995e+03 1.180217e-18 2.500761e-18   0.000000
3.418595e+03 5.998178e-18 2.599147e-18   0.000000
3.419195e+03 3.146301e-18 2.826010e-18   0.000000
3.419795e+03 2.801805e-18 2.424687e-18   0.000000
3.420395e+03 -3.313526e-19 2.332105e-18   0.000000
3.420995e+03 -4.261205e-19 2.625698e-18   0.000000
3.421596e+03 8.720893e-21 2.813367e-18   0.000000
3.422196e+03 5.525437e-18 2.509974e-18   0.000000
3.422796e+03 1.982928e-18 2.420954e-18   0.000000
3.423396e+03 -1.494604e-19 2.472158e-18   0.000000
3.423996e+03 6.826112e-19 2.858259e-18   0.000000
3.424596e+03 1.191213e-18 2.836726e-18   0.000000
3.425196e+03 3.059250e-18 2.560894e-18   0.000000
3.425796e+03 -8.516480e-19 2.556053e-18   0.000000
3.426396e+03 2.104325e-18 2.571335e-18   0.000000
3.426997e+03 4.054061e-18 2.637183e-18   0.000000
3.427597e+03 3.911090e-18 2.891862e-18   0.000000
3.428197e+03 -4.429060e-19 2.829015e-18   0.000000
3.428797e+03 1.592458e-18 2.493548e-18   0.000000
3.429397e+03 3.158979e-18 2.628367e-18   0.000000
3.429997e+03 -1.277194e-19 2.605841e-18   0.000000
3.430597e+03 5.057054e-18 2.609626e-18   0.000000
3.431197e+03 3.642275e-18 2.872489e-18   0.000000
3.431798e+03 3.024429e-18 2.915956e-18   0.000000
3.432398e+03 -4.635072e-18 2.660959e-18   0.000000
3.432998e+03 1.551594e-18 2.597434e-18   0.000000
3.433598e+03 2.117183e-18 2.502818e-18   0.000000
3.434198e+03 -9.064497e-19 2.571993e-18   0.000000
3.434798e+03 -5.691441e-18 2.711536e-18   0.000000
3.435398e+03 7.416505e-19 2.836397e-18   0.000000
3.435998e+03 -5.804478e-20 3.134029e-18   0.000000
3.436599e+03 5.483335e-18 3.235307e-18   0.000000
3.437199e+03 2.031828e-18 2.853085e-18   0.000000
3.437799e+03 2.952920e-18 2.790637e-18   0.000000
3.438399e+03 1.304604e-18 2.871732e-18   0.000000
3.438999e+03 -2.213767e-20 2.854386e-18   0.000000
3.439599e+03 2.406228e-18 2.784504e-18   0.000000
3.440199e+03 -1.827204e-18 2.762629e-18   0.000000
3.440799e+03 3.851417e-18 2.970480e-18   0.000000
3.441400e+03 -1.124765e-18 3.023577e-18   0.000000
3.442000e+03 -2.358690e-19 2.785881e-18   0.000000
3.442600e+03        nan        nan   0.000000
3.443200e+03 4.218585e-18 2.903016e-18   0.000000
3.443800e+03 -1.182607e-18 2.794043e-18   0.000000
3.444400e+03 -8.783205e-19 2.695987e-18   0.000000
3.445000e+03 3.649083e-19 2.781619e-18   0.000000
3.445600e+03 3.446281e-18 2.809621e-18   0.000000
3.446200e+03        nan        nan   0.000000
3.446801e+03 1.702432e-18 2.985066e-18   0.000000
3.447401e+03 4.799603e-18 2.834572e-18   0.000000
3.448001e+03 3.162731e-18 2.808894e-18   0.000000
3.448601e+03        nan        nan   0.000000
3.449201e+03 3.161254e-18 2.983659e-18   0.000000
3.449801e+03 3.384292e-18 2.832908e-18   0.000000
3.450401e+03 2.730847e-18 2.972606e-18   0.000000
3.451001e+03 -5.006880e-19 3.224822e-18   0.000000
3.451602e+03 1.131994e-18 3.249920e-18   0.000000
3.452202e+03 2.908874e-18 3.376676e-18   0.000000
3.452802e+03 3.510126e-18 3.204318e-18   0.000000
3.453402e+03 2.973451e-18 3.309659e-18   0.000000
3.454002e+03 7.003078e-19 3.393468e-18   0.000000
3.454602e+03 2.350009e-18 3.037303e-18   0.000000
3.455202e+03        nan        nan   0.000000
3.455802e+03 2.199375e-18 3.410937e-18   0.000000
3.456403e+03 -8.475677e-19 3.086771e-18   0.000000
